,year,biome,country_of_production,product_type,zero_deforestation_bolivia_soy,province_of_production,municipality_of_production,port_of_export,exporter_group,importer_group,country,economic_bloc,volume,co2_gross_emissions_soy_deforestation_5_year_total_exposure,land_use,soy_deforestation_5_year_total_exposure,province_of_production_trase_id,municipality_of_production_trase_id
5482,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEANS,{UNKNOWN},ICHILO,SAN CARLOS,DESAGUADERO,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,INVERSIONES BTOVAL EIRL,PERU,PERU,3.1200036191735703,0.0,1.021418542483567,0.0,BO-0704,BO-070402
5483,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},WARNES,OKINAWA UNO,DESAGUADERO,AGROTRAM SRL,NUTRIMENTOS TECHNOLOGI SRL,PERU,PERU,3.1180816028243123,0.1937399104167789,1.0207893178486898,0.001543332072029,BO-0702,BO-070202
5484,2021,SOUTHWEST AMAZON MOIST FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},ICHILO,SAN JUAN,FRONTERA PISIGA,UNKNOWN,UNKNOWN,ECUADOR,ECUADOR,3.114369996216907,2.417944301012255,1.0195742218828,0.0085978070454344,BO-0704,BO-070404
5485,2021,SOUTHWEST AMAZON MOIST FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},ICHILO,SAN JUAN,TAMBO QUEMADA,UNKNOWN,UNKNOWN,MALAYSIA,MALAYSIA,3.11436998136627,2.4179442894824716,1.0195742170210378,0.0085978070044364,BO-0704,BO-070404
5486,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEANS,{UNKNOWN},ICHILO,SAN CARLOS,DESAGUADERO,ECO GRANOS SRL,CHURATA CALIZAYA ANGEL HIPOLITO,PERU,PERU,3.1137760670394914,0.0,1.0193797829177311,0.0,BO-0704,BO-070402
5487,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEANS,{UNKNOWN},ICHILO,SAN CARLOS,DESAGUADERO,ECO GRANOS SRL,INVERSIONES AGRO MOLINERA GRANO REAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - INVAMGRAL EIRL,PERU,PERU,3.113776067039491,0.0,1.0193797829177311,0.0,BO-0704,BO-070402
5488,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},WARNES,OKINAWA UNO,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,3.105785100295185,0.19297587547418,1.016763721335352,0.0015372457698906,BO-0702,BO-070202
5489,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{NONE},NUFLO DE CHAVEZ,SAN JULIAN,YACUIBA,INDUSTRIAS OLEAGINOSAS S.A.,KABSA SA,CHILE,CHILE,3.085444255997004,4.721595590850764,1.0101045894650378,0.0243906992268133,BO-0711,BO-071104
5490,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},ICHILO,SAN CARLOS,TAMBO QUEMADA,UNKNOWN,UNKNOWN,ECUADOR,ECUADOR,3.0839503566527995,0.0,1.0096155206442852,0.0,BO-0704,BO-070402
5491,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},WARNES,WARNES,DESAGUADERO,AGROTRAM SRL,MOLINOS ROSA BLANCA SAC,PERU,PERU,3.0719559958296125,7.468424695463717,1.0056888384844456,0.0297431318394374,BO-0702,BO-070201
